Gene,Protein,Description,p_Value,Log2FC
Rpl5,RL5_MOUSE|P47962,60S ribosomal protein L5,1.30E-01,3.79E-01
Rpl6,RL6_MOUSE|P47911,60S ribosomal protein L6,9.99E-01,-3.43E-02
Rpl7,RL7_MOUSE|P14148,60S ribosomal protein L7,8.08E-01,-1.53E-01
Rpl7a,RL7A_MOUSE|P12970,60S ribosomal protein L7a,2.93E-01,3.08E-01
Rpl8,RL8_MOUSE|P62918,60S ribosomal protein L8,6.14E-01,3.14E-01
Rpl9,RL9_MOUSE|P51410,60S ribosomal protein L9,1.49E-01,3.08E-01
Rplp0,RLA0_MOUSE|P14869,60S acidic ribosomal protein P0,3.00E-01,2.48E-01
Rplp1,RLA1_MOUSE|P47955,60S acidic ribosomal protein P1,1.51E-01,6.23E-01
Rplp2,RLA2_MOUSE|P99027,60S acidic ribosomal protein P2,9.73E-01,5.95E-03
Rlbp1,RLBP1_MOUSE|Q9Z275,Retinaldehyde-binding protein 1,1.63E-02,3.68E-01
Ralgapb,RLGPB_MOUSE|Q8BQZ4,Ral GTPase-activating protein subunit beta,4.94E-04,6.89E-01
Mrpl13,RM13_MOUSE|Q9D1P0,"39S ribosomal protein L13, mitochondrial",4.54E-01,2.84E-01
Mrpl14,RM14_MOUSE|Q9D1I6,"39S ribosomal protein L14, mitochondrial",9.76E-02,1.66E-01
Mrpl28,RM28_MOUSE|Q9D1B9,"39S ribosomal protein L28, mitochondrial",6.44E-02,4.05E-01
Mrpl37,RM37_MOUSE|Q921S7,"39S ribosomal protein L37, mitochondrial",3.87E-02,5.92E-01
Mrpl39,RM39_MOUSE|Q9JKF7,"39S ribosomal protein L39, mitochondrial",5.64E-02,4.67E-01
Mrpl44,RM44_MOUSE|Q9CY73,"39S ribosomal protein L44, mitochondrial",1.91E-02,5.23E-01
Mrpl45,RM45_MOUSE|Q9D0Q7,"39S ribosomal protein L45, mitochondrial",8.42E-02,4.28E-01
Rmdn1,RMD1_MOUSE|Q9DCV4,Regulator of microtubule dynamics protein 1,6.21E-02,4.72E-01
Rmdn3,RMD3_MOUSE|Q3UJU9,Regulator of microtubule dynamics protein 3,2.91E-03,7.35E-01
Rbmxl1,RMXL1_MOUSE|Q91VM5,"RNA binding motif protein, X-linked-like-1",8.41E-03,2.59E-01
Rnf123,RN123_MOUSE|Q5XPI3,E3 ubiquitin-protein ligase RNF123,3.87E-03,6.15E-01
Rnf141,RN141_MOUSE|Q99MB7,RING finger protein 141,1.15E-02,5.66E-01
Rnf214,RN214_MOUSE|Q8BFU3,RING finger protein 214,5.18E-04,1.59E+00
Rnf219,RN219_MOUSE|Q8K2Y0,RING finger protein 219,4.83E-04,1.71E+00
Rnf10,RNF10_MOUSE|Q3UIW5,RING finger protein 10,7.16E-03,1.08E+00
Rnf14,RNF14_MOUSE|Q9JI90,E3 ubiquitin-protein ligase RNF14,1.43E-02,4.39E-01
Rnf34,RNF34_MOUSE|Q99KR6,E3 ubiquitin-protein ligase RNF34,1.13E-02,9.90E-01
Rnps1,RNPS1_MOUSE|Q99M28,RNA-binding protein with serine-rich domain 1,1.80E-03,6.84E-01
Elac1,RNZ1_MOUSE|Q8VEB6,Zinc phosphodiesterase ELAC protein 1,4.65E-04,1.25E+00
Trove2,RO60_MOUSE|O08848,60 kDa SS-A/Ro ribonucleoprotein,7.85E-02,4.03E-01
Hnrnpa0,ROA0_MOUSE|Q9CX86,Heterogeneous nuclear ribonucleoprotein A0,1.49E-02,4.84E-01
Hnrnpa1,ROA1_MOUSE|P49312,Heterogeneous nuclear ribonucleoprotein A1,1.99E-04,6.50E-01
Hnrnpa2b1,ROA2_MOUSE|O88569,Heterogeneous nuclear ribonucleoproteins A2/B1,1.21E-03,4.72E-01
Hnrnpa3,ROA3_MOUSE|Q8BG05,Heterogeneous nuclear ribonucleoprotein A3,1.54E-04,1.03E+00
Hnrnpab,ROAA_MOUSE|Q99020,Heterogeneous nuclear ribonucleoprotein A/B,1.84E-02,3.38E-01
Robo1,ROBO1_MOUSE|O89026,Roundabout homolog 1,4.70E-04,1.41E+00
Robo2,ROBO2_MOUSE|Q7TPD3,Roundabout homolog 2,4.26E-03,8.85E-01
Rock1,ROCK1_MOUSE|P70335,Rho-associated protein kinase 1,6.40E-03,4.31E-01
Rock2,ROCK2_MOUSE|P70336,Rho-associated protein kinase 2,1.93E-03,7.02E-01
Rogdi,ROGDI_MOUSE|Q3TDK6,Protein rogdi homolog,1.57E-02,6.54E-01
Rph3a,RP3A_MOUSE|P47708,Rabphilin-3A,7.15E-04,9.47E-01
rp9,RP9_MOUSE|P97762,Retinitis pigmentosa 9 protein homolog,2.91E-04,9.79E-01
Polr2e,RPAB1_MOUSE|Q80UW8,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",6.22E-01,6.71E-02
Polr2h,RPAB3_MOUSE|Q923G2,"DNA-directed RNA polymerases I, II, and III subunit RPABC3",1.79E-01,-2.29E-01
Rpap1,RPAP1_MOUSE|Q80TE0,RNA polymerase II-associated protein 1,7.88E-04,1.15E+00
Rpap3,RPAP3_MOUSE|Q9D706,RNA polymerase II-associated protein 3,5.91E-04,1.34E+00
Polr2a,RPB1_MOUSE|P08775,DNA-directed RNA polymerase II subunit RPB1,3.57E-02,3.58E-01
Polr2b,RPB2_MOUSE|Q8CFI7,DNA-directed RNA polymerase II subunit RPB2,8.48E-04,5.16E-01
Rpe,RPE_MOUSE|Q8VEE0,Ribulose-phosphate 3-epimerase,9.25E-01,-1.65E-02
Rapgef2,RPGF2_MOUSE|Q8CHG7,Rap guanine nucleotide exchange factor 2,1.44E-03,9.57E-01
Rapgef4,RPGF4_MOUSE|Q9EQZ6,Rap guanine nucleotide exchange factor 4,1.60E-03,6.82E-01
Rap1gap,RPGP1_MOUSE|A2ALS5,Rap1 GTPase-activating protein 1,3.01E-04,1.37E+00
Rap1gap2,RPGP2_MOUSE|Q5SVL6,Rap1 GTPase-activating protein 2,6.09E-04,1.33E+00
Rpn1,RPN1_MOUSE|Q91YQ5,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,3.85E-02,3.70E-01
Rpn2,RPN2_MOUSE|Q9DBG6,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,2.46E-02,3.60E-01
Rprd1a,RPR1A_MOUSE|Q8VDS4,Regulation of nuclear pre-mRNA domain-containing protein 1A,1.76E-01,4.74E-01
Rprd1b,RPR1B_MOUSE|Q9CSU0,Regulation of nuclear pre-mRNA domain-containing protein 1B,2.04E-01,2.14E-01
Rprd2,RPRD2_MOUSE|Q6NXI6,Regulation of nuclear pre-mRNA domain-containing protein 2,9.69E-04,1.42E+00
Rptor,RPTOR_MOUSE|Q8K4Q0,Regulatory-associated protein of mTOR,1.06E-03,7.19E-01
Rraga,RRAGA_MOUSE|Q80X95,Ras-related GTP-binding protein A,7.96E-03,5.29E-01
Rragb,RRAGB_MOUSE|Q6NTA4,Ras-related GTP-binding protein B,5.09E-03,6.02E-01
Rragc,RRAGC_MOUSE|Q99K70,Ras-related GTP-binding protein C,4.45E-02,4.13E-01
Rras,RRAS_MOUSE|P10833,Ras-related protein R-Ras,1.97E-01,3.00E-01
Rras2,RRAS2_MOUSE|P62071,Ras-related protein R-Ras2,1.96E-01,3.50E-01
Rrbp1,RRBP1_MOUSE|Q99PL5,Ribosome-binding protein 1,8.87E-02,2.37E-01
Gfm2,RRF2M_MOUSE|Q8R2Q4,"Ribosome-releasing factor 2, mitochondrial",1.21E-01,4.20E-01
Rrp12,RRP12_MOUSE|Q6P5B0,RRP12-like protein,1.94E-02,3.16E-01
Rps10,RS10_MOUSE|P63325,40S ribosomal protein S10,7.58E-01,6.91E-02
Rps11,RS11_MOUSE|P62281,40S ribosomal protein S11,1.94E-01,2.87E-01
Rps12,RS12_MOUSE|P63323,40S ribosomal protein S12,3.19E-01,1.21E-01
Rps13,RS13_MOUSE|P62301,40S ribosomal protein S13,9.12E-01,9.74E-03
Rps14,RS14_MOUSE|P62264,40S ribosomal protein S14,4.28E-01,2.12E-01
Rps15,RS15_MOUSE|P62843,40S ribosomal protein S15,4.12E-01,-1.05E-01
Rps15a,RS15A_MOUSE|P62245,40S ribosomal protein S15a,3.43E-01,1.61E-01
Rps16,RS16_MOUSE|P14131,40S ribosomal protein S16,3.49E-01,2.75E-01
Rps17,RS17_MOUSE|P63276,40S ribosomal protein S17,3.07E-01,1.32E-01
Rps18,RS18_MOUSE|P62270,40S ribosomal protein S18,8.29E-01,2.28E-02
Rps19,RS19_MOUSE|Q9CZX8,40S ribosomal protein S19,8.47E-01,4.06E-02
Rps2,RS2_MOUSE|P25444,40S ribosomal protein S2,6.95E-02,3.87E-01
Rps20,RS20_MOUSE|P60867,40S ribosomal protein S20,5.84E-02,2.00E-01
Rps21,RS21_MOUSE|Q9CQR2,40S ribosomal protein S21,2.40E-01,2.88E-01
Rps23,RS23_MOUSE|P62267,40S ribosomal protein S23,5.22E-01,1.13E-01
Rps24,RS24_MOUSE|P62849,40S ribosomal protein S24,7.97E-01,3.31E-02
Rps25,RS25_MOUSE|P62852,40S ribosomal protein S25,3.83E-01,1.00E-01
Rps26,RS26_MOUSE|P62855,40S ribosomal protein S26,4.69E-01,1.30E-01
Rps27,RS27_MOUSE|Q6ZWU9,40S ribosomal protein S27,2.54E-01,2.09E-01
Rps27a,RS27A_MOUSE|P62983,Ubiquitin-40S ribosomal protein S27a,7.26E-01,-7.53E-02
Rps27l,RS27L_MOUSE|Q6ZWY3,40S ribosomal protein S27-like,2.06E-01,2.81E-01
Rps28,RS28_MOUSE|P62858,40S ribosomal protein S28,6.85E-01,-2.82E-02
Rps29,RS29_MOUSE|P62274,40S ribosomal protein S29,5.91E-02,5.16E-01
Rps3,RS3_MOUSE|P62908,40S ribosomal protein S3,1.79E-01,2.60E-01
Fau,RS30_MOUSE|P62862,40S ribosomal protein S30,5.18E-01,2.87E-01
Rps3a,RS3A_MOUSE|P97351,40S ribosomal protein S3a,8.33E-02,2.70E-01
Rps4x,RS4X_MOUSE|P62702,"40S ribosomal protein S4, X isoform",9.55E-02,2.96E-01
Rps5,RS5_MOUSE|P97461,40S ribosomal protein S5,2.12E-01,2.33E-01
Rps6,RS6_MOUSE|P62754,40S ribosomal protein S6,5.97E-01,3.18E-01
Rps7,RS7_MOUSE|P62082,40S ribosomal protein S7,9.34E-01,1.04E-02
Rps8,RS8_MOUSE|P62242,40S ribosomal protein S8,8.35E-01,4.12E-02
Rps9,RS9_MOUSE|Q6ZWN5,40S ribosomal protein S9,3.88E-01,1.88E-01
Snrpb,RSMB_MOUSE|P27048,Small nuclear ribonucleoprotein-associated protein B,3.15E-02,2.86E-01
Rsrc1,RSRC1_MOUSE|Q9DBU6,Serine/Arginine-related protein 53,7.56E-01,5.56E-03
Rsrc2,RSRC2_MOUSE|A2RTL5,Arginine/serine-rich coiled-coil protein 2,2.62E-02,4.22E-01
Rpsa,RSSA_MOUSE|P14206,40S ribosomal protein SA,8.37E-01,3.85E-02
Rsu1,RSU1_MOUSE|Q01730,Ras suppressor protein 1,7.03E-04,8.74E-01
Mrps2,RT02_MOUSE|Q924T2,"28S ribosomal protein S2, mitochondrial",1.40E-01,3.80E-01
Mrps5,RT05_MOUSE|Q99N87,"28S ribosomal protein S5, mitochondrial",1.10E-01,4.82E-01
Mrps17,RT17_MOUSE|Q9CQE3,"28S ribosomal protein S17, mitochondrial",2.50E-01,3.83E-01
Mrps18b,RT18B_MOUSE|Q99N84,"28S ribosomal protein S18b, mitochondrial",4.24E-02,2.86E-01
Mrps26,RT26_MOUSE|Q80ZS3,"28S ribosomal protein S26, mitochondrial",3.10E-01,3.11E-01
Mrps27,RT27_MOUSE|Q8BK72,"28S ribosomal protein S27, mitochondrial",5.29E-02,4.39E-01
Dap3,RT29_MOUSE|Q9ER88,"28S ribosomal protein S29, mitochondrial",2.19E-02,5.15E-01
Mrps30,RT30_MOUSE|Q9D0G0,"28S ribosomal protein S30, mitochondrial",1.94E-02,5.58E-01
Mrps35,RT35_MOUSE|Q8BJZ4,"28S ribosomal protein S35, mitochondrial",5.79E-02,3.70E-01
Mrps36,RT36_MOUSE|Q9CQX8,"28S ribosomal protein S36, mitochondrial",1.53E-01,3.55E-01
Rtn4ip1,RT4I1_MOUSE|Q924D0,"Reticulon-4-interacting protein 1, mitochondrial",6.47E-02,5.13E-01
RtcA,RTCA_MOUSE|Q9D7H3,RNA 3'-terminal phosphate cyclase,8.05E-02,6.52E-01
Rtcb,RTCB_MOUSE|Q99LF4,tRNA-splicing ligase RtcB homolog,1.61E-02,4.32E-01
Rtf1,RTF1_MOUSE|A2AQ19,RNA polymerase-associated protein RTF1 homolog,1.24E-03,8.33E-01
Rtkn,RTKN_MOUSE|Q8C6B2,Rhotekin,6.26E-04,7.00E-01
Rtn1,RTN1_MOUSE|Q8K0T0,Reticulon-1,6.01E-04,1.31E+00
Rtn3,RTN3_MOUSE|Q9ES97,Reticulon-3,5.71E-04,1.59E+00
Rtn4,RTN4_MOUSE|Q99P72,Reticulon-4,5.44E-04,1.56E+00
Snrnp70,RU17_MOUSE|Q62376,U1 small nuclear ribonucleoprotein 70 kDa,1.06E-01,1.40E-01
Snrpc,RU1C_MOUSE|Q62241,U1 small nuclear ribonucleoprotein C,5.99E-04,8.36E-01
Snrpa1,RU2A_MOUSE|P57784,U2 small nuclear ribonucleoprotein A',4.40E-04,9.27E-01
Snrpb2,RU2B_MOUSE|Q9CQI7,U2 small nuclear ribonucleoprotein B'',6.67E-02,1.96E-01
Rufy1,RUFY1_MOUSE|Q8BIJ7,RUN and FYVE domain-containing protein 1,2.21E-03,8.71E-01
Rufy2,RUFY2_MOUSE|Q8R4C2,RUN and FYVE domain-containing protein 2,1.45E-02,5.14E-01
Rufy3,RUFY3_MOUSE|Q9D394,Protein RUFY3,1.07E-03,1.24E+00
Rundc3a,RUN3A_MOUSE|O08576,RUN domain-containing protein 3A,4.70E-02,4.07E-01
Rusc2,RUSC2_MOUSE|Q80U22,Iporin,9.16E-03,1.26E+00
Ruvbl1,RUVB1_MOUSE|P60122,RuvB-like 1,7.06E-04,5.85E-01
Ruvbl2,RUVB2_MOUSE|Q9WTM5,RuvB-like 2,3.13E-04,1.41E+00
Snrpg,RUXG_MOUSE|P62309,Small nuclear ribonucleoprotein G,9.82E-01,-3.09E-03
NA,RYDEN_MOUSE|Q8CAK3,NA,4.58E-04,1.45E+00
Ryr1,RYR1_MOUSE|E9PZQ0,Ryanodine receptor 1,2.00E-03,7.48E-01
Ryr2,RYR2_MOUSE|E9Q401,Ryanodine receptor 2,5.82E-03,6.30E-01
S100a6,S10A6_MOUSE|P14069,Protein S100-A6,3.16E-01,-3.00E-01
S100a10,S10AA_MOUSE|P08207,Protein S100-A10,2.40E-02,1.49E-01
S100a11,S10AB_MOUSE|P50543,Protein S100-A11,2.78E-01,6.71E-02
Slc12a2,S12A2_MOUSE|P55012,Solute carrier family 12 member 2,1.95E-02,5.01E-01
Slc12a4,S12A4_MOUSE|Q9JIS8,Solute carrier family 12 member 4,6.41E-04,8.02E-01
Slc12a5,S12A5_MOUSE|Q91V14,Solute carrier family 12 member 5,4.90E-04,9.48E-01
Slc12a6,S12A6_MOUSE|Q924N4,Solute carrier family 12 member 6,6.70E-04,1.01E+00
Slc12a9,S12A9_MOUSE|Q99MR3,Solute carrier family 12 member 9,7.79E-02,2.66E-01
Sec14l2,S14L2_MOUSE|Q99J08,SEC14-like protein 2,5.36E-02,5.23E-01
S1pr1,S1PR1_MOUSE|O08530,Sphingosine 1-phosphate receptor 1,1.69E-01,5.94E-01
Slc20a1,S20A1_MOUSE|Q61609,Sodium-dependent phosphate transporter 1,1.14E-02,6.78E-01
Slc20a2,S20A2_MOUSE|Q80UP8,Sodium-dependent phosphate transporter 2,6.66E-03,5.36E-01
Slc22a4,S22A4_MOUSE|Q9Z306,Solute carrier family 22 member 4,6.04E-02,3.64E-01
Slc22a17,S22AH_MOUSE|Q9D9E0,Solute carrier family 22 member 17,5.12E-02,4.52E-01
Slc23a2,S23A2_MOUSE|Q9EPR4,Solute carrier family 23 member 2,9.52E-04,7.68E-01
Sec23ip,S23IP_MOUSE|Q6NZC7,SEC23-interacting protein,8.14E-04,7.60E-01
Slc25a41,S2541_MOUSE|Q8BVN7,Solute carrier family 25 member 41,5.85E-02,5.79E-01
Slc25a42,S2542_MOUSE|Q8R0Y8,Mitochondrial coenzyme A transporter SLC25A42,5.11E-02,5.02E-01
Slc25a46,S2546_MOUSE|Q9CQS4,Solute carrier family 25 member 46,1.59E-02,4.16E-01
Slc25a51,S2551_MOUSE|Q5HZI9,Solute carrier family 25 member 51,3.59E-02,5.25E-01
Slc27a1,S27A1_MOUSE|Q60714,Long-chain fatty acid transport protein 1,2.54E-03,6.52E-01
Slc27a4,S27A4_MOUSE|Q91VE0,Long-chain fatty acid transport protein 4,8.90E-03,5.74E-01
Slc35a5,S35A5_MOUSE|Q921R7,Probable UDP-sugar transporter protein SLC35A5,2.50E-03,6.20E-01
Slc38a3,S38A3_MOUSE|Q9DCP2,Sodium-coupled neutral amino acid transporter 3,5.86E-01,6.08E-02
Slc38a7,S38A7_MOUSE|Q8BWH0,Putative sodium-coupled neutral amino acid transporter 7,1.43E-01,3.56E-01
Slc39a8,S39A8_MOUSE|Q91W10,Zinc transporter ZIP8,6.55E-02,-2.99E-01
Slc39a10,S39AA_MOUSE|Q6P5F6,Zinc transporter ZIP10,7.35E-04,8.70E-01
Slc39a12,S39AC_MOUSE|Q5FWH7,Zinc transporter ZIP12,1.24E-02,5.45E-01
Slc4a10,S4A10_MOUSE|Q5DTL9,Sodium-driven chloride bicarbonate exchanger,6.67E-04,8.76E-01
Slc4a4,S4A4_MOUSE|O88343,Electrogenic sodium bicarbonate cotransporter 1,2.78E-03,7.77E-01
Slc4a7,S4A7_MOUSE|Q8BTY2,Sodium bicarbonate cotransporter 3,1.10E-03,1.05E+00
Slc4a8,S4A8_MOUSE|Q8JZR6,Electroneutral sodium bicarbonate exchanger 1,2.64E-03,6.58E-01
Snph,S4R180_MOUSE|S4R180,Syntaphilin,4.82E-04,1.29E+00
Atp2b2,S4R1C4_MOUSE|S4R1C4,Calcium-transporting ATPase,4.65E-03,6.78E-01
Gm3839,S4R1W1_MOUSE|S4R1W1,Glyceraldehyde-3-phosphate dehydrogenase,1.20E-01,4.10E-01
Dgki,S4R215_MOUSE|S4R215,Diacylglycerol kinase,1.32E-03,6.72E-01
Arhgap32,S4R2G6_MOUSE|S4R2G6,Rho GTPase-activating protein 32,7.25E-04,1.06E+00
Slc6a11,S6A11_MOUSE|P31650,Sodium- and chloride-dependent GABA transporter 3,3.67E-03,6.05E-01
Slc6a17,S6A17_MOUSE|Q8BJI1,Sodium-dependent neutral amino acid transporter SLC6A17,5.49E-04,1.27E+00
Slc7a14,S7A14_MOUSE|Q8BXR1,Probable cationic amino acid transporter,5.73E-04,9.14E-01
Sacm1l,SAC1_MOUSE|Q9EP69,Phosphatidylinositide phosphatase SAC1,3.02E-02,5.53E-01
Inpp5f,SAC2_MOUSE|Q8CDA1,Phosphatidylinositide phosphatase SAC2,8.66E-04,1.03E+00
Sacs,SACS_MOUSE|Q9JLC8,Sacsin,1.62E-02,4.31E-01
Sae1,SAE1_MOUSE|Q9R1T2,SUMO-activating enzyme subunit 1,1.15E-02,5.78E-01
Uba2,SAE2_MOUSE|Q9Z1F9,SUMO-activating enzyme subunit 2,5.42E-03,5.44E-01
Safb,SAFB1_MOUSE|D3YXK2,Scaffold attachment factor B1,4.48E-04,1.41E+00
Ahcy,SAHH_MOUSE|P50247,Adenosylhomocysteinase,3.44E-02,4.12E-01
Ahcyl1,SAHH2_MOUSE|Q80SW1,Putative adenosylhomocysteinase 2,2.95E-03,6.22E-01
Ahcyl2,SAHH3_MOUSE|Q68FL4,Putative adenosylhomocysteinase 3,8.78E-03,5.20E-01
Samd14,SAM14_MOUSE|Q8K070,Sterile alpha motif domain-containing protein 14,9.80E-05,1.38E+00
Samm50,SAM50_MOUSE|Q8BGH2,Sorting and assembly machinery component 50 homolog,3.43E-01,2.12E-01
Psap,SAP_MOUSE|Q61207,Prosaposin,4.08E-01,2.32E-01
Sap18,SAP18_MOUSE|O55128,Histone deacetylase complex subunit SAP18,4.54E-01,2.03E-01
Sar1a,SAR1A_MOUSE|P36536,GTP-binding protein SAR1a,3.38E-01,1.99E-01
Sarm1,SARM1_MOUSE|Q6PDS3,Sterile alpha and TIR motif-containing protein 1,1.17E-02,4.73E-01
Sarnp,SARNP_MOUSE|Q9D1J3,SAP domain-containing ribonucleoprotein,3.63E-04,7.04E-01
Sart3,SART3_MOUSE|Q9JLI8,Squamous cell carcinoma antigen recognized by T-cells 3,5.26E-04,1.20E+00
Slc1a4,SATT_MOUSE|O35874,Neutral amino acid transporter A,1.11E-01,2.92E-01
Sbds,SBDS_MOUSE|P70122,Ribosome maturation protein SBDS,1.85E-01,1.87E-01
Sbno1,SBNO1_MOUSE|Q689Z5,Protein strawberry notch homolog 1,5.60E-04,8.23E-01
Selenbp1,SBP1_MOUSE|P17563,Selenium-binding protein 1,1.99E-01,2.54E-01
Sec11c,SC11C_MOUSE|Q9D8V7,Signal peptidase complex catalytic subunit SEC11C,1.78E-01,4.35E-01
Sec22b,SC22B_MOUSE|O08547,Vesicle-trafficking protein SEC22b,7.16E-02,3.63E-01
Sec23a,SC23A_MOUSE|Q01405,Protein transport protein Sec23A,1.48E-02,4.74E-01
Sec23b,SC23B_MOUSE|Q9D662,Protein transport protein Sec23B,2.73E-01,2.86E-01
Sec24a,SC24A_MOUSE|Q3U2P1,Protein transport protein Sec24A,2.55E-02,4.64E-01
Sec31a,SC31A_MOUSE|Q3UPL0,Protein transport protein Sec31A,7.51E-04,8.81E-01
Slc5a3,SC5A3_MOUSE|Q9JKZ2,Sodium/myo-inositol cotransporter,2.90E-02,4.49E-01
Slc5a6,SC5A6_MOUSE|Q5U4D8,Sodium-dependent multivitamin transporter,2.39E-02,3.65E-01
Slc5a7,SC5A7_MOUSE|Q8BGY9,High affinity choline transporter 1,3.83E-04,1.01E+00
Slc6a1,SC6A1_MOUSE|P31648,Sodium- and chloride-dependent GABA transporter 1,1.53E-02,6.46E-01
Slc6a3,SC6A3_MOUSE|Q61327,Sodium-dependent dopamine transporter,2.88E-04,1.13E+00
Slc6a4,SC6A4_MOUSE|Q60857,Sodium-dependent serotonin transporter,7.36E-04,9.33E-01
Slc6a5,SC6A5_MOUSE|Q761V0,Sodium- and chloride-dependent glycine transporter 2,3.65E-05,1.81E+00
Slc6a7,SC6A7_MOUSE|Q6PGE7,Sodium-dependent proline transporter,1.51E-03,8.71E-01
Slc6a9,SC6A9_MOUSE|P28571,Sodium- and chloride-dependent glycine transporter 1,1.04E-03,5.91E-01
Scai,SCAI_MOUSE|Q8C8N2,Protein SCAI,1.14E-03,8.01E-01
Scamp1,SCAM1_MOUSE|Q8K021,Secretory carrier-associated membrane protein 1,2.51E-03,7.08E-01
Scamp3,SCAM3_MOUSE|O35609,Secretory carrier-associated membrane protein 3,5.06E-02,3.91E-01
Scamp5,SCAM5_MOUSE|Q9JKD3,Secretory carrier-associated membrane protein 5,1.65E-02,5.43E-01
Scfd1,SCFD1_MOUSE|Q8BRF7,Sec1 family domain-containing protein 1,1.37E-03,6.87E-01
Scg2,SCG2_MOUSE|Q03517,Secretogranin-2,9.39E-02,1.50E-01
Slc25a25,SCMC2_MOUSE|A2ASZ8,Calcium-binding mitochondrial carrier protein SCaMC-2,3.19E-02,4.46E-01
Slc25a25,SCMC2_MOUSE|A2ASZ8-4,Calcium-binding mitochondrial carrier protein SCaMC-2 (isoform 4),2.07E-02,4.46E-01
Slc25a23,SCMC3_MOUSE|Q6GQS1,Calcium-binding mitochondrial carrier protein SCaMC-3,1.52E-03,4.79E-01
NA,SCN1A_MOUSE|A2APX8,NA,1.84E-04,1.40E+00
Scn1b,SCN1B_MOUSE|P97952,Sodium channel subunit beta-1,9.82E-02,4.03E-01
Scn2b,SCN2B_MOUSE|Q56A07,Sodium channel subunit beta-2,3.43E-01,2.49E-01
Scn4b,SCN4B_MOUSE|Q7M729,Sodium channel subunit beta-4,2.58E-02,6.95E-01
Scn8a,SCN8A_MOUSE|Q9WTU3,Sodium channel protein type 8 subunit alpha,8.93E-04,9.65E-01
Oxct1,SCOT1_MOUSE|Q9D0K2,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",7.68E-02,5.29E-01
Sccpdh,SCPDL_MOUSE|Q8R127,Saccharopine dehydrogenase-like oxidoreductase,1.23E-01,4.87E-01
Scrg1,SCRG1_MOUSE|O88745,Scrapie-responsive protein 1,6.16E-01,9.86E-02
Scrib,SCRIB_MOUSE|Q80U72,Protein scribble homolog,3.09E-04,1.61E+00
Scrn1,SCRN1_MOUSE|Q9CZC8,Secernin-1,8.46E-04,8.66E-01
Scrn3,SCRN3_MOUSE|Q3TMH2,Secernin-3,4.22E-02,1.19E+00
NA,SCYL1_MOUSE|Q9EQC5,NA,7.93E-04,1.14E+00
Scyl2,SCYL2_MOUSE|Q8CFE4,SCY1-like protein 2,4.77E-04,1.03E+00
Sdf2,SDF2_MOUSE|Q9DCT5,Stromal cell-derived factor 2,4.44E-04,2.63E-01
Sdha,SDHA_MOUSE|Q8K2B3,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",5.25E-02,4.15E-01
Sdhb,SDHB_MOUSE|Q9CQA3,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",1.92E-01,6.11E-01
Sdsl,SDSL_MOUSE|Q8R238,Serine dehydratase-like,1.38E-01,2.86E-01
Sel1l,SE1L1_MOUSE|Q9Z2G6,Protein sel-1 homolog 1,1.22E-01,8.46E-01
Sez6l2,SE6L2_MOUSE|Q4V9Z5,Seizure 6-like protein 2,7.16E-01,1.76E-02
Sec13,SEC13_MOUSE|Q9D1M0,Protein SEC13 homolog,8.47E-02,2.31E-01
Sec62,SEC62_MOUSE|Q8BU14,Translocation protein SEC62,2.88E-02,4.65E-01
Sec63,SEC63_MOUSE|Q8VHE0,Translocation protein SEC63 homolog,3.30E-03,5.04E-01
Seh1l,SEH1_MOUSE|Q8R2U0,Nucleoporin SEH1,3.47E-03,3.35E-01
Eefsec,SELB_MOUSE|Q9JHW4,Selenocysteine-specific elongation factor,1.28E-03,6.12E-01
Sema4a,SEM4A_MOUSE|Q62178,Semaphorin-4A,4.80E-02,4.29E-01
Sema4d,SEM4D_MOUSE|O09126,Semaphorin-4D,4.31E-03,4.93E-01
Sema4f,SEM4F_MOUSE|Q9Z123,Semaphorin-4F,2.23E-03,7.79E-01
Sema6b,SEM6B_MOUSE|O54951,Semaphorin-6B,1.98E-03,9.28E-01
Sema7a,SEM7A_MOUSE|Q9QUR8,Semaphorin-7A,1.62E-01,3.26E-01
Senp7,SENP7_MOUSE|Q8BUH8,Sentrin-specific protease 7,1.26E-03,9.04E-01
10-Sep,SEP10_MOUSE|Q8C650,Septin-10,1.40E-02,4.54E-01
11-Sep,SEP11_MOUSE|Q8C1B7,Septin-11,3.71E-02,4.06E-01
1-Sep,SEPT1_MOUSE|P42209,Septin-1,9.02E-04,1.25E+00
2-Sep,SEPT2_MOUSE|P42208,Septin-2,2.31E-01,1.77E-01
3-Sep,SEPT3_MOUSE|Q9Z1S5,Neuronal-specific septin-3,1.62E-03,8.47E-01
4-Sep,SEPT4_MOUSE|P28661,Septin-4,6.05E-04,1.22E+00
5-Sep,SEPT5_MOUSE|Q9Z2Q6,Septin-5,9.58E-04,1.15E+00
6-Sep,SEPT6_MOUSE|Q9R1T4,Septin-6,3.32E-02,4.46E-01
7-Sep,SEPT7_MOUSE|O55131,Septin-7,1.51E-02,5.07E-01
